Name,Year Published,Users Rated,Rating Average
Star Trek: Fleet Captains,2011,3153,7.51
World Without End,2009,4630,7.26
Carcassonne: The Castle,2003,7567,7.1
Ascension: Deckbuilding Game,2010,11811,7.03
6 nimmt!,1994,20629,6.92
Summoner Wars: Alliances Master Set,2014,1634,8.11
Telestrations: 12 Player Party Pack,2011,2166,7.76
D-Day at Omaha Beach,2009,1521,8.26
Churchill,2015,2373,7.67
Saint Petersburg (Second Edition),2014,2843,7.51
1989: Dawn of Freedom,2012,2043,7.79
Feudum,2017,2726,7.67
My Little Scythe,2017,3801,7.37
Diplomacy,1959,12105,7.04
Reef,2018,6821,7.1
Caverna: Cave vs Cave,2017,5067,7.19
Among the Stars,2012,6677,7.08
Ex Libris,2017,5014,7.21
Prêt-à-Porter,2010,3362,7.41
Super Motherload,2015,3358,7.39
Warhammer: Invasion,2009,5692,7.22
Space Hulk: Death Angel - The Card Game,2010,12222,6.99
Cribbage,1630,8302,7.05
Washington's War,2010,2375,7.63
King of New York,2014,14174,6.96
Villagers,2019,4182,7.35
Vast: The Crystal Caverns,2016,5833,7.17
Conflict of Heroes: Awakening the Bear! - Russia 1941-42,2008,2975,7.51
Deep Sea Adventure,2014,10755,6.99
Vasco da Gama,2009,4289,7.25
The Mind,2018,19317,6.91
Kanagawa,2016,7036,7.1
Wits & Wagers,2005,13372,6.93
Smartphone Inc.,2018,2047,7.75
Panamax,2014,3574,7.33
Exit: The Game - The Secret Lab,2016,5581,7.13
Oh My Goods!,2015,9383,7.01
13 Days: The Cuban Missile Crisis,2016,3758,7.31
Dungeons & Dragons: The Legend of Drizzt Board Game,2011,5572,7.25
Tribune: Primus Inter Pares,2007,4421,7.23
Napoleon's Triumph,2007,1699,7.97
Yedo,2012,3474,7.38
Blue Moon City,2006,7697,7.04
Disney Villainous,2018,9955,7.06
One Deck Dungeon,2016,8027,7.07
Finca,2009,6818,7.07
Marvel Dice Masters: Avengers vs. X-Men,2014,5534,7.16
Tajemnicze Domostwo,2013,4882,7.18
XCOM: The Board Game,2015,7891,7.06
Spyfall,2014,18226,6.88
City of the Big Shoulders,2019,1729,7.93
FUSE,2015,7036,7.06
Squad Leader,1977,3154,7.51
Warhammer Underworlds: Shadespire,2017,2532,7.78
Blokus,2000,22895,6.88
Jambo,2004,7965,7.01
Lords of Xidit,2014,5261,7.14
Century: A New World,2019,2880,7.48
Civilization: A New Dawn,2017,4283,7.31
Zombie Kidz Evolution,2018,1918,7.89
The Pursuit of Happiness,2015,4107,7.24
Cooper Island,2019,2080,7.72
Reef Encounter,2004,4970,7.14
ZÈRTZ,1999,3915,7.29
A Fake Artist Goes to New York,2012,4790,7.17
Combat Commander: Pacific,2008,1472,8.09
Scoville,2014,4769,7.17
Draftosaurus,2019,4703,7.19
Unlock!: Heroic Adventures,2018,1835,7.82
Tinners' Trail,2008,3811,7.26
Treasure Island,2018,3747,7.3
Red7,2014,12692,6.92
King of Tokyo: Dark Edition,2020,1854,7.89
Black Angel,2019,3027,7.42
Star Wars: The Card Game,2012,5328,7.19
Spyrium,2013,5776,7.08
Summoner Wars: Phoenix Elves vs Tundra Orcs,2009,2559,7.53
AuZtralia,2018,3093,7.4
Whitehall Mystery,2017,2353,7.59
Outlive,2017,3581,7.37
Virgin Queen,2012,1553,8.05
Union Pacific,1999,4177,7.21
The Estates,2018,2551,7.49
